Country Name,Country Code,2000,2005,2010
Albania,ALB,1449.6474130000001,1722.07285,1943.3433539999999
Algeria,DZA,680.1959744,886.9145764,1012.690836
Angola,AGO,75.05660874,108.63037659999998,206.3405781
Argentina,ARG,2078.28644,2392.893914,2847.2568420000002
Armenia,ARM,1297.568273,1521.504841,1726.264557
Australia,AUS,10193.91218,10458.450190000001,10726.928179999999
Austria,AUT,7076.269483,7977.681597,8382.711154
Azerbaijan,AZE,2040.4790899999998,2388.388734,1603.431374
Bahrain,BHR,20014.625030000003,21325.553780000002,18038.26695
Bangladesh,BGD,101.4886293,170.6812527,239.8305315
Belarus,BLR,2996.309475,3245.372088,3563.637766
Belgium,BEL,8247.677113,8509.997073,8393.949623
Benin,BEN,58.11285283,73.78894982,95.44246988
Bolivia,BOL,419.808737,482.17016900000004,604.3409709
Bosnia and Herzegovina,BIH,2021.9257890000001,2379.460166,3141.519643
Botswana,BWA,1098.742146,1419.833047,1539.5564769999999
Brazil,BRA,1891.9708219999998,2007.27743,2361.055941
Bulgaria,BGR,3673.606871,4165.180392,4560.414917
Cambodia,KHM,32.75085634,66.76613263,144.3173892
Cameroon,CMR,178.0122002,189.7731992,266.3429224
Canada,CAN,16990.578390000002,16912.47834,15269.5726
Chile,CHL,2512.325102,3102.483523,3320.415734
China,CHN,992.9433847000001,1782.312153,2943.589954
Colombia,COL,829.3989416000001,895.8168431,1077.984569
"Congo, Dem. Rep.",COD,96.63018532,89.51356855,104.7219202
"Congo, Rep.",COG,92.69228301,114.30129769999999,136.5493323
Costa Rica,CRI,1521.1022039999998,1736.411509,1901.31301
Cote d'Ivoire,CIV,171.5751975,171.84489150000002,216.40744909999998
Croatia,HRV,2855.8517850000003,3475.9117509999996,3813.679311
Cuba,CUB,1135.440746,1152.756855,1290.826274
Cyprus,CYP,3373.314138,4099.612906,4585.626371
Denmark,DNK,6482.488628,6659.000427,6327.506456
Ecuador,ECU,637.521384,799.7680127,1143.780018
El Salvador,SLV,617.1149968,758.339621,859.743965
Estonia,EST,4540.492561,5531.545829,6506.318181000001
Ethiopia,ETH,22.64893974,33.36501141,48.26534928
Finland,FIN,15305.40981,16117.890330000002,16484.09428
France,FRA,7224.5269849999995,7652.864304000001,7734.726783
Gabon,GAB,878.0608258,907.9726268,948.0493351
Georgia,GEO,1452.8212210000002,1784.9642,1976.821192
Germany,DEU,6635.421406,7138.221484999999,7264.322590999999
Ghana,GHA,332.01747819999997,245.8452227,280.5144756
Gibraltar,GIB,3880.6927520000004,4394.576905,5182.439965
Greece,GRC,4586.3298700000005,5297.200025,5333.439556
Guatemala,GTM,330.4510279,480.68009630000006,541.9531103999999
Haiti,HTI,35.44191269,37.02742534,24.40093456
Honduras,HND,492.16136090000003,580.0556864,627.106677
Hungary,HUN,3309.283711,3771.364614,3876.4910840000002
Iceland,ISL,26201.52558,27988.02968,51439.90869
India,IND,394.9638097,469.45392310000005,642.1116154
Indonesia,IDN,390.3745511,499.71609450000005,634.1760897999999
Iraq,IRQ,1237.4067029999999,833.8508879,1195.993811
Ireland,IRL,5796.0555810000005,6241.715574,5927.86868
Israel,ISR,6323.103832,6572.199535,6953.276667
Italy,ITA,5299.856479,5731.101557,5493.711037
Jamaica,JAM,2274.486011,2392.999093,1213.257088
Japan,JPN,8299.409506,8539.010589,8594.909034
Jordan,JOR,1294.49965,1592.548692,1865.6742390000002
Kazakhstan,KAZ,3169.523341,4012.073919,4728.0958869999995
Kenya,KEN,106.10329899999999,130.2142282,150.2775613
"Korea, Rep.",KOR,5906.959333,7796.314673999999,9716.126081
Kosovo,XKX,1557.058824,2169.095663,2649.689133
Kuwait,KWT,14027.61246,17028.29147,16722.6858
Latvia,LVA,2082.321387,2777.38198,3229.951062
Libya,LBY,2222.6574760000003,3431.39489,3377.2940799999997
Lithuania,LTU,2516.905098,3187.03108,3470.7850299999996
Luxembourg,LUX,15668.118269999999,15644.146719999999,16829.96254
"Macedonia, FYR",MKD,2895.589239,3374.3117409999995,3574.086353
Malaysia,MYS,2748.08407,2877.230962,4159.639935
Malta,MLT,4311.858636999999,4912.9097600000005,4767.097378
Mauritius,MUS,1363.24611,1683.6908329999999,1995.361484
Mexico,MEX,1750.5561579999999,1950.9878600000002,1963.314688
Moldova,MDA,1638.095699,2047.737712,1722.8867129999999
Mongolia,MNG,1053.6256230000001,1251.9563050000002,1492.636352
Montenegro,MNE,,6314.9052280000005,5419.516070000001
Morocco,MAR,489.08788089999996,633.1036232000001,774.3683907999999
Mozambique,MOZ,123.14802659999998,441.7611756,440.3955922
Myanmar,MMR,76.276489,75.5734829,125.4089848
Namibia,NAM,994.0729454,1451.139555,1546.588624
Nepal,NPL,59.30690697,77.37822903,102.5047536
Netherlands,NLD,6507.105925,6912.372084999999,7006.273821
New Zealand,NZL,9384.348187,9673.673771,9601.903142000001
Nicaragua,NIC,347.736411,416.96658019999995,514.1412369
Niger,NER,32.67866487,36.7149005,44.32111917
Nigeria,NGA,74.4491249,129.25771899999998,136.3616921
Norway,NOR,24993.7263,25083.21453,24890.92401
Oman,OMN,3201.952741,3923.9125719999997,5521.032662
Pakistan,PAK,372.399485,463.05733349999997,465.16132350000004
Panama,PAN,1266.521623,1455.0520720000002,1744.884061
Paraguay,PRY,887.4724197,863.7745117000001,1178.606275
Peru,PER,680.1883968,837.2928906000001,1094.3142710000002
Philippines,PHL,499.34884630000005,576.6495507000001,639.540799
Poland,POL,3256.180455,3437.323998,3797.0922960000003
Portugal,PRT,3988.9608240000002,4682.991013,4959.094305
Qatar,QAT,14353.32375,15467.1896,14821.237119999998
Romania,ROU,1987.6601899999998,2365.4195640000003,2550.863291
Saudi Arabia,SAU,5637.557363,6590.281948,7973.513579
Senegal,SEN,101.67894709999999,157.9377823,199.12932790000002
Serbia,SRB,4198.715706,3921.9064590000003,4358.812174000001
Singapore,SGP,7575.4359540000005,8678.168168,8679.99335
Slovak Republic,SVK,4955.907896,4932.803281,5201.404896999999
Slovenia,SVN,5777.995651,6917.860467,6510.841884
South Africa,ZAF,4503.774084000001,4547.651272,4510.2165350000005
Spain,ESP,5167.809673,6111.219223,5706.5630630000005
Sri Lanka,LKA,294.75126580000006,400.5212307,461.1267067
Sudan,SDN,62.40534411,75.87944009,131.0552689
Suriname,SUR,2258.726899,2767.834595,2997.511894
Sweden,SWE,15681.615269999998,15430.96395,14934.326959999999
Switzerland,CHE,7845.634548,8305.371102,8174.408162000001
Tajikistan,TJK,2161.608248,2129.2129059999997,1864.916255
Tanzania,TZA,57.93193185,77.66956788,92.95294947
Thailand,THA,1447.948944,1914.5296170000001,2307.3315030000003
Togo,TGO,94.35922941,108.03643259999998,122.5597236
Trinidad and Tobago,TTO,3990.586632,5142.12751,6189.292975
Tunisia,TUN,977.4005002999999,1083.991043,1364.388547
Turkey,TUR,1652.748261,2013.890143,2491.631262
Turkmenistan,TKM,1692.1564059999998,2051.679612,2382.052245
Ukraine,UKR,2778.43709,3246.035731,3549.847724
United Arab Emirates,ARE,12232.620429999999,12303.14165,10968.25849
United Kingdom,GBR,6114.529259,6270.984059,5700.855864
United States,USA,13671.05202,13704.57705,13393.99128
Uruguay,URY,2030.262748,1999.6319469999999,2803.1525460000003
Uzbekistan,UZB,1780.4579239999998,1717.201055,1653.467496
Vietnam,VNM,285.2816799,566.7377027000001,1016.59824
"Yemen, Rep.",YEM,139.0231178,179.420546,249.97056990000002
Zambia,ZMB,591.0045948,681.4548368,580.143022
Zimbabwe,ZWE,872.8343085000001,832.378158,546.8427268999999
