Country,Country Code,Continent,forest_2010,power_2010,pop_2010,GreenCoef
Albania,ALB,Europe,7760.0,1943.343354,2913021.0,2663.9011527894922
Algeria,DZA,Africa,14920.0,1012.690836,36117637.0,413.09457758822924
Angola,AGO,Africa,584800.0,206.3405781,23369131.0,25024.46496619836
Argentina,ARG,South America,294000.0,2847.256842,41223889.0,7131.7871052874225
Armenia,ARM,Europe,2620.0,1726.264557,2877311.0,910.5724059721038
Australia,AUS,Oceania,1493000.0,10726.92818,22031750.0,67765.83793842977
Austria,AUT,Europe,38870.0,8382.711154,8363404.0,4647.629123261295
Azerbaijan,AZE,Europe,9360.0,1603.431374,9054332.0,1033.7593099082294
Bahrain,BHR,Asia,10.0,18038.26695,1240862.0,8.058913884058018
Bangladesh,BGD,Asia,14420.0,239.8305315,152149102.0,94.77545256888864
Belarus,BLR,Europe,86300.0,3563.637766,9490583.0,9093.224304555368
Belgium,BEL,Europe,6780.0,8393.949623,10895586.0,622.2703395668668
Benin,BEN,Africa,45610.0,95.44246988,9199259.0,4958.0080308642255
Bolivia,BOL,South America,571960.0,604.3409709,9918242.0,57667.47776470871
Bosnia and Herzegovina,BIH,Europe,21850.0,3141.519643,3722084.0,5870.367245876235
Botswana,BWA,Africa,113510.0,1539.556477,2014866.0,56336.25263417021
Brazil,BRA,South America,5195220.0,2361.055941,196796269.0,26398.976090344477
Bulgaria,BGR,Europe,39270.0,4560.414917,7395599.0,5309.914720903608
Cambodia,KHM,Asia,100940.0,144.3173892,14308740.0,7054.429670257479
Cameroon,CMR,Africa,199160.0,266.3429224,19970495.0,9972.712243737575
Canada,CAN,North America,3101340.0,15269.5726,34005274.0,91201.73535434534
Chile,CHL,South America,162310.0,3320.415734,16993354.0,9551.381086982594
China,CHN,Asia,2068610.0,2943.589954,1337705000.0,1546.3872826968577
Colombia,COL,South America,604990.0,1077.984569,45918097.0,13175.41534876761
Costa Rica,CRI,North America,26050.0,1901.31301,4545280.0,5731.220078851028
Croatia,HRV,Europe,19200.0,3813.679311,4417781.0,4346.073288829845
Cuba,CUB,North America,28700.0,1290.826274,11333051.0,2532.416028128701
Cyprus,CYP,Europe,1730.0,4585.626371,1112607.0,1554.9066292051014
Denmark,DNK,Europe,5440.0,6327.506456,5547683.0,980.5895542337224
Ecuador,ECU,South America,98650.0,1143.780018,14934690.0,6605.426694494496
El Salvador,SLV,North America,2870.0,859.743965,6164626.0,465.5594678411959
Estonia,EST,Europe,22170.0,6506.3181810000015,1331475.0,16650.706922773617
Ethiopia,ETH,Africa,122960.0,48.26534928,87702670.0,1402.0097677755991
Finland,FIN,Europe,221570.0,16484.09428,5363352.0,41311.85124526602
France,FRA,Europe,159540.0,7734.726783,65027512.0,2453.423098826232
Gabon,GAB,Africa,220000.0,948.0493351,1640210.0,134129.1663872309
Georgia,GEO,Europe,27420.0,1976.821192,3926000.0,6984.207845134997
Germany,DEU,Europe,110760.0,7264.322590999999,81776930.0,1354.4162149398371
Ghana,GHA,Africa,49400.0,280.5144756,24512104.0,2015.3308749016403
Greece,GRC,Europe,39030.0,5333.439556,11121341.0,3509.468867108742
Guatemala,GTM,North America,36570.0,541.9531103999999,14630417.0,2499.5869905827017
Haiti,HTI,North America,1010.0,24.40093456,9999617.0,101.00386844816155
Honduras,HND,North America,51920.0,627.106677,8194778.0,6335.742103080767
Hungary,HUN,Europe,20290.0,3876.491084,10000023.0,2028.9953333107333
Iceland,ISL,Europe,300.0,51439.90869,318041.0,943.2746092484931
India,IND,Asia,684340.0,642.1116154,1230980691.0,555.9307347413137
Indonesia,IDN,Asia,944320.0,634.1760897999999,242524123.0,3893.7157603905653
Iraq,IRQ,Asia,8250.0,1195.993811,30762701.0,268.1819128950998
Ireland,IRL,Europe,7390.0,5927.86868,4560155.0,1620.5589502988385
Israel,ISR,Asia,1540.0,6953.276667,7623600.0,202.0043024292985
Italy,ITA,Europe,91490.0,5493.711037,59277417.0,1543.4208275303224
Jamaica,JAM,North America,3370.0,1213.257088,2817210.0,1196.218954213566
Japan,JPN,Asia,249790.0,8594.909034,128070000.0,1950.4177402982746
Jordan,JOR,Asia,980.0,1865.674239,7182390.0,136.44483243043055
Kazakhstan,KAZ,Asia,33090.0,4728.095887,16321581.0,2027.3771272525623
Kenya,KEN,Africa,34670.0,150.2775613,41350152.0,838.4491549148356
Kuwait,KWT,Asia,60.0,16722.6858,2998083.0,20.01278817164168
Latvia,LVA,Europe,33540.0,3229.951062,2097555.0,15990.04555303675
Lebanon,LBN,Asia,1370.0,3478.789368,4337141.0,315.8762880893197
Libya,LBY,Africa,2170.0,3377.29408,6169140.0,351.75081129622606
Lithuania,LTU,Europe,21600.0,3470.78503,3097282.0,6973.8564328336915
Luxembourg,LUX,Europe,870.0,16829.96254,506953.0,1716.135420837829
Malaysia,MYS,Asia,204560.0,4159.639935,28112289.0,7276.533049300966
Malta,MLT,Europe,,4767.097378,414508.0,
Mauritius,MUS,Africa,350.0,1995.361484,1250400.0,279.9104286628279
Mexico,MEX,North America,648020.0,1963.314688,117318941.0,5523.575259684623
Moldova,MDA,Europe,3860.0,1722.886713,3562045.0,1083.6471745865085
Mongolia,MNG,Asia,108980.0,1492.636352,2712650.0,40174.73688090981
Montenegro,MNE,Europe,5430.0,5419.5160700000015,619428.0,8766.151998295201
Morocco,MAR,Africa,51310.0,774.3683907999998,32409639.0,1583.1709819415144
Mozambique,MOZ,Africa,390220.0,440.3955922,24221405.0,16110.543546090741
Namibia,NAM,Africa,72900.0,1546.588624,2173170.0,33545.46584022419
Nepal,NPL,Asia,36360.0,102.5047536,27023137.0,1345.5136611267596
Netherlands,NLD,Europe,3650.0,7006.273821,16615394.0,219.6758018497786
New Zealand,NZL,Oceania,82690.0,9601.903142,4350700.0,19006.13694348036
Nicaragua,NIC,North America,31140.0,514.1412369,5737723.0,5427.240039297819
Niger,NER,Africa,12040.0,44.32111917,16425578.0,733.0031247606628
Nigeria,NGA,Africa,90410.0,136.3616921,158578261.0,570.1285878018299
Norway,NOR,Europe,100650.0,24890.92401,4889252.0,20585.971023788505
Oman,OMN,Asia,20.0,5521.032662,3041460.0,6.575789259105824
Pakistan,PAK,Asia,16870.0,465.1613235,170560182.0,98.90936912813567
Panama,PAN,North America,32510.0,1744.884061,3643222.0,8923.419983739668
Paraguay,PRY,South America,175820.0,1178.606275,6209877.0,28312.96014397709
Peru,PER,South America,679920.0,1094.3142710000004,29373646.0,23147.279707803384
Philippines,PHL,Asia,76650.0,639.540799,93726624.0,817.8039144992568
Poland,POL,Europe,93370.0,3797.092296,38042794.0,2454.3412873407774
Portugal,PRT,Europe,34560.0,4959.094305,10573100.0,3268.6723855822797
Qatar,QAT,Asia,0.0,14821.237119999998,1779676.0,0.0
Romania,ROU,Europe,65730.0,2550.863291,20246871.0,3246.4275591028363
Saudi Arabia,SAU,Asia,9770.0,7973.513579,27425676.0,356.23552177893447
Senegal,SEN,Africa,84730.0,199.1293279,12916229.0,6559.964212464799
Serbia,SRB,Europe,27130.0,4358.8121740000015,7291436.0,3720.8034192441655
Singapore,SGP,Asia,20.0,8679.99335,5076732.0,3.9395422094370947
Slovenia,SVN,Europe,12530.0,6510.841884,2048583.0,6116.422912813394
South Africa,ZAF,Africa,56660.0,4510.216535000001,50979432.3622277,1111.4286168863116
Spain,ESP,Europe,181730.0,5706.563063000001,46576897.0,3901.719773217181
Sri Lanka,LKA,Asia,18600.0,461.1267067,20119000.0,924.4992295839753
Sudan,SDN,Africa,699490.0,131.0552689,34385963.0,20342.312355771453
Suriname,SUR,South America,147580.0,2997.511894,526103.0,280515.41238122573
Sweden,SWE,Europe,282030.0,14934.32696,9378126.0,30073.17240139448
Switzerland,CHE,Europe,12400.0,8174.4081620000015,7824909.0,1584.6829656421564
Tajikistan,TJK,Asia,4100.0,1864.916255,7641630.0,536.5347445505736
Tanzania,TZA,Africa,334280.0,92.95294947,46098591.0,7251.414690744019
Thailand,THA,Asia,189720.0,2307.331503000001,67208808.0,2822.8442914803663
Togo,TGO,Africa,2870.0,122.5597236,6502952.0,441.3380261764196
Trinidad and Tobago,TTO,North America,2260.0,6189.292975,1328100.0,1701.6790904299373
Tunisia,TUN,Africa,10060.0,1364.388547,10639931.0,945.4948533030899
Turkey,TUR,Asia,113340.0,2491.631262,72326914.0,1567.051512801998
Turkmenistan,TKM,Asia,41270.0,2382.052245,5087210.0,8112.50174457119
Ukraine,UKR,Europe,97050.0,3549.847724,45870700.0,2115.729648773618
United Arab Emirates,ARE,Asia,3170.0,10968.25849,8270684.0,383.28147950036544
United Kingdom,GBR,Europe,28810.0,5700.855864,62766365.0,459.003799248212
United States,USA,North America,3040220.0,13393.99128,309348193.0,9827.825307516829
Uruguay,URY,South America,17440.0,2803.1525460000007,3374415.0,5168.303246636825
Uzbekistan,UZB,Asia,32760.0,1653.467496,28562400.0,1146.9624401310814
Vietnam,VNM,Asia,137970.0,1016.59824,86932500.0,1587.0934345612975
Zambia,ZMB,Africa,494680.0,580.143022,13850033.0,35716.8824074282
Zimbabwe,ZWE,Africa,156240.0,546.8427268999999,14086317.0,11091.614649876188
